id,street,status,price,bedrooms,bathrooms,sq_ft,lat,lng
826,476 2nd Vis,pending,242624,3,3,3905,33.50705769,-112.30235
827,727 Euclid Pl,active,202027,4,1,1739,33.48931715,-112.0931145
828,430 2nd St,active,205847,5,1,1110,33.3843246,-112.2034872
829,111 Franklin Wl,sold,103759,5,1,1002,33.39681662,-112.2541438
830,698 Turk Way,pending,251810,4,3,3314,33.57848501,-111.9745334
831,27 California Cir,sold,216862,2,3,1623,33.56495487,-112.0689822
832,431 Bush Dv,active,261419,4,2,1241,33.54189625,-111.9023999
833,125 Mission Way,active,275195,3,2,2265,33.41691282,-111.9273642
834,781 Franklin Cir,pending,100314,5,2,2629,33.46320549,-111.9536979
835,762 7th Way,active,229416,3,3,2386,33.56244835,-112.3243445
836,178 6th Pl,sold,280020,2,1,2540,33.50092531,-112.0083033
837,628 3rd Trl,active,149272,4,3,1386,33.49278357,-112.1967988
838,132 California St,pending,161786,4,1,2916,33.58606577,-111.9791044
839,366 7th St,sold,139716,5,3,2888,33.37025915,-112.3283736
840,212 3rd Ave,sold,117777,4,3,2941,33.50512628,-112.0991477
841,350 1st Ave,pending,176121,5,2,1072,33.52684776,-112.0399073
842,669 Walnut Way,pending,243387,5,1,2211,33.38857772,-112.0817294
843,602 3rd Dv,sold,218695,3,1,1397,33.56013892,-112.261373
844,73 1st Trl,sold,117851,2,3,2461,33.56231301,-112.27618
845,237 Sutter Vis,active,112484,2,3,1231,33.37495625,-112.3035576
846,424 Walnut Vis,pending,141141,2,2,3490,33.38187208,-112.1894842
847,299 3rd St,pending,209179,3,1,1523,33.40607868,-112.2305378
848,524 Mission Ave,sold,212915,2,1,2560,33.5272193,-111.9468764
849,48 5th Wl,sold,299198,3,1,3706,33.48271133,-112.2560369
850,770 4th Ave,sold,277742,2,3,3411,33.58511462,-112.1839344
851,565 Franklin Ave,active,225639,2,2,3538,33.36304599,-112.2464117
852,706 Wall Pl,pending,238907,3,3,1206,33.59411185,-112.3169948
853,103 6th Rd,pending,159965,4,3,2335,33.47763135,-112.0157951
854,213 Indiana Dv,sold,188582,2,3,2206,33.4618279,-112.2401227
855,276 7th Vis,sold,278822,4,2,2269,33.56155857,-112.3157578
856,306 9th St,pending,111019,4,3,3357,33.53120975,-112.0850325
857,796 Turk Way,pending,141952,4,3,2370,33.59298724,-112.0773568
858,221 Euclid Way,sold,204021,4,1,2189,33.45363795,-112.0934453
859,760 Geary Wl,pending,209121,5,1,2265,33.45938848,-111.9435554
860,333 Page Cir,active,143177,5,3,1758,33.41576976,-112.0648508
861,697 4th Pl,pending,173767,3,3,1352,33.54255276,-112.2263031
862,555 5th Rd,pending,278191,4,1,3852,33.4079346,-112.3106679
863,319 Walnut Dv,active,125292,5,1,3246,33.53906851,-112.240607
864,293 7th Cir,active,176283,3,1,2600,33.52490498,-112.3321244
865,776 4th Vis,sold,237934,2,3,2013,33.58563855,-112.1806051
866,545 Sutter Blvd,sold,214763,4,3,3031,33.54640002,-111.9625223
867,261 Sutter Way,pending,109097,4,1,3170,33.58901868,-112.036392
868,118 Mission Ave,active,172914,2,2,2865,33.56818017,-112.1709893
869,457 Post Blvd,sold,100804,5,3,1767,33.56783054,-112.1693248
870,518 1st St,pending,257953,3,3,3581,33.53429223,-111.9803033
871,374 Sutter Rd,active,118891,5,3,1148,33.55169378,-111.918923
872,199 Walnut Pl,sold,285764,2,3,3490,33.43022474,-111.8750742
873,494 Walnut Trl,pending,191141,2,3,1455,33.43498036,-112.0814224
874,719 9th Dv,pending,191644,2,3,1781,33.54564268,-111.9800766
875,188 6th Pl,pending,109461,2,1,2711,33.40296732,-111.9815869
876,338 2nd Rd,pending,125234,5,3,1523,33.57684814,-111.8848718
877,506 Mission Pl,active,163957,5,3,3303,33.5444568,-112.0166293
878,410 2nd Trl,active,171974,5,3,2139,33.47391505,-112.0674563
879,381 Post Cir,pending,204097,3,1,2174,33.41341952,-112.3031708
880,64 Indiana Blvd,pending,279002,3,1,3138,33.5134614,-112.0527052
881,70 Euclid Dv,sold,285739,5,1,1736,33.58425252,-112.0579674
882,291 Franklin Pl,active,234384,2,3,1566,33.41837818,-112.2707654
883,677 Bush Way,sold,122286,4,3,2558,33.38400205,-112.3107622
884,566 Euclid Vis,active,274234,4,2,2266,33.52314105,-112.3404112
885,486 9th Vis,sold,109531,3,3,2736,33.54024051,-112.0743942
886,16 Turk Ave,pending,160219,2,2,2917,33.47131931,-112.338903
887,404 Texas Rd,active,244390,2,1,1592,33.52173961,-112.1259024
888,418 Turk Pl,active,296306,3,1,1980,33.40507435,-111.8868324
889,607 Mission Vis,sold,276601,2,2,1735,33.49747645,-111.9180721
890,270 Texas Cir,sold,260438,5,2,1804,33.42935505,-112.1866142
891,486 Bush Pl,pending,293032,3,1,2297,33.39605586,-112.163778
892,695 Blake Blvd,active,275314,3,3,3032,33.5540863,-112.1269632
893,15 5th Vis,sold,113190,2,2,1768,33.43279441,-112.1880781
894,305 6th Wl,active,294542,2,1,2201,33.44746994,-112.2034925
895,453 Sutter Vis,active,248879,3,1,1489,33.39481123,-111.9298735
896,166 Indiana Rd,active,132822,5,2,2467,33.46105955,-112.0819373
897,177 Bush Wl,active,191361,4,1,3159,33.4382756,-111.9825676
898,602 Sutter Pl,pending,262700,2,1,3057,33.36288255,-112.0914534
899,314 Post Trl,active,126057,5,2,3765,33.58470068,-112.2507958
900,476 Wall Dv,sold,118365,4,1,1231,33.50332992,-112.2317331
901,516 Bush Wl,active,225826,5,2,2453,33.5686192,-112.1560123
902,123 Indiana Wl,pending,108764,5,3,2237,33.50642262,-111.9893913
903,666 3rd Cir,pending,209240,3,3,1011,33.4358619,-112.3013762
904,654 Sutter Trl,pending,142764,5,3,1168,33.47113706,-112.3493255
905,604 Page St,active,157646,2,3,3168,33.36276549,-111.9963394
906,740 California Blvd,active,274277,3,2,2203,33.57635318,-111.9887578
907,156 Texas Blvd,pending,121997,5,2,2379,33.49272511,-112.2028512
908,74 Geary Cir,active,274968,2,1,3735,33.54703375,-112.179711
909,277 Turk St,pending,249383,2,2,2081,33.53120839,-111.9826023
910,255 1st Ave,active,195191,5,1,1900,33.49857823,-111.9506374
911,587 3rd St,pending,148919,2,1,2148,33.56242008,-112.0800257
912,195 Walnut Pl,pending,113188,5,2,3305,33.52833256,-112.3522385
913,741 Page Wl,sold,294519,5,3,3053,33.37690626,-112.2884322
914,456 1st Blvd,sold,149922,3,2,1317,33.39608788,-112.1112593
915,585 9th Dv,pending,109294,5,3,3882,33.36773406,-112.23438
916,395 Turk Vis,pending,123227,5,1,1664,33.4377197,-112.1888933
917,414 Page Rd,sold,241445,4,1,2937,33.4755359,-111.9113928
918,747 Indiana Pl,active,231078,5,1,1285,33.42897236,-111.9576788
919,529 8th Ave,active,193431,2,1,1064,33.51112409,-112.3017429
920,664 Euclid Rd,active,176786,4,3,2305,33.55494531,-111.945582
921,541 Page Pl,active,234382,5,1,3962,33.56364424,-111.910271
922,184 Bush Vis,active,129692,3,3,1309,33.37587241,-112.1400311
923,348 2nd Vis,pending,114018,3,3,1100,33.39626067,-112.1697634
924,506 Post Trl,pending,275004,5,1,3641,33.40611043,-112.1347191
925,665 8th Dv,sold,242102,5,3,1320,33.36246344,-112.0017014
926,711 Texas Trl,pending,295017,5,3,2016,33.58360999,-112.0312199
927,492 Bush Vis,pending,153492,5,3,2237,33.37671517,-112.1173246
928,276 Bush Rd,sold,120483,4,1,1325,33.58138141,-111.9400469
929,466 Franklin Vis,active,223167,4,3,2059,33.3742788,-112.3519041
930,365 2nd Blvd,sold,137381,3,3,2878,33.58155844,-111.9254261
931,227 4th St,active,270510,2,1,1991,33.52936492,-111.995338
932,235 California Pl,sold,127636,5,1,2692,33.5558063,-112.2770826
933,429 1st St,active,227503,2,2,1895,33.47883546,-112.2059498
934,362 Pine Wl,active,197518,2,1,2241,33.50161731,-112.0261007
935,256 9th Rd,active,111854,3,1,2970,33.36998017,-112.2212305
936,468 Wall St,pending,177799,3,2,2911,33.45057524,-111.9470624
937,428 5th Wl,active,225964,4,1,1972,33.55320374,-111.9311951
938,234 1st St,pending,105366,5,1,2957,33.409987,-112.3073241
939,415 Texas Dv,pending,215154,3,2,1810,33.58119565,-111.9692275
940,80 6th St,pending,250053,3,3,1714,33.38824729,-112.1429203
941,342 4th Trl,pending,279529,3,2,3856,33.44965467,-112.3288991
942,293 Pine Pl,pending,298199,4,1,1150,33.37561922,-112.0145573
943,54 3rd Dv,pending,280471,5,3,1171,33.55795037,-112.096798
944,160 5th Rd,pending,154935,4,2,2034,33.42104601,-111.9804176
945,641 Texas Way,active,248179,4,3,2110,33.4237698,-112.3264448
946,719 Mission Blvd,pending,117122,5,1,3930,33.50621506,-112.2653184
947,496 Sutter Trl,active,106323,4,1,2122,33.36762888,-112.2262469
948,553 Euclid St,sold,178981,4,3,1641,33.57852665,-112.308408
949,99 3rd Vis,active,286787,3,1,3291,33.40726432,-112.136196
950,620 8th Pl,active,146818,4,2,1437,33.42598607,-112.3598163
951,479 5th Wl,sold,285817,5,1,2631,33.52215554,-112.0082547
952,447 Franklin Dv,sold,110776,3,2,3789,33.38567507,-111.8742667
953,254 1st Pl,pending,193664,4,1,3614,33.38191753,-111.9122592
954,171 2nd Ave,sold,164908,5,2,3377,33.54719987,-112.2234608
955,754 Pine Way,pending,263999,5,3,3508,33.3608792,-112.2461735
956,672 Blake Rd,pending,113111,2,2,3042,33.40002206,-111.9810249
957,45 9th Pl,active,273277,2,2,1933,33.47490048,-111.9665546
958,41 Blake Ave,sold,186961,4,3,3101,33.48511002,-112.2699967
959,438 3rd Dv,sold,157900,3,1,2710,33.52570645,-112.1893409
960,140 8th Trl,pending,244904,2,1,1047,33.4633619,-112.2080927
961,600 Wall Rd,active,103876,4,1,2581,33.50077249,-111.9686152
962,716 9th Wl,active,175096,2,1,3012,33.40058435,-111.8881339
963,225 Franklin Dv,pending,294807,3,3,3742,33.59022752,-111.9842559
964,355 Mission Dv,active,219170,5,2,2105,33.46428873,-111.8872271
965,443 California Trl,sold,249422,4,1,1964,33.53934089,-112.0293739
966,112 1st Ave,active,154052,2,2,1641,33.5718071,-111.9737779
967,673 Post Dv,active,127832,5,2,2463,33.39858426,-112.2653026
968,240 1st Vis,sold,191593,4,2,3067,33.49303475,-112.1505291
969,232 Wall Way,active,262447,3,2,3543,33.58640124,-112.2656348
970,601 Texas St,pending,155246,2,3,2941,33.36891184,-112.0113819
971,596 Wall Ave,active,201845,2,2,1483,33.43233756,-112.0441282
972,620 Mission Blvd,active,245152,3,2,3886,33.36741584,-112.2103605
973,703 9th Trl,active,282773,3,3,1604,33.41860044,-112.0536624
974,415 Blake Trl,pending,295846,2,1,3242,33.37441801,-111.889808
975,85 7th Trl,pending,157040,3,3,1338,33.41441142,-112.0770654
976,278 Walnut Dv,active,111170,2,2,2981,33.38600269,-112.0690594
977,88 9th Rd,sold,136179,5,3,2762,33.59370532,-112.329771
978,76 4th Vis,pending,192489,2,3,2304,33.56237644,-111.9282212
979,274 Walnut Vis,active,161044,2,2,1254,33.5777634,-112.0681681
980,48 Post Ave,active,242658,3,3,2268,33.4024434,-112.2897589
981,131 5th Blvd,pending,281489,3,2,1326,33.45749838,-112.2754978
982,213 Bush Rd,pending,155592,2,1,1287,33.45246526,-112.3078899
983,450 7th Trl,sold,132782,4,3,2305,33.5802652,-112.0051947
984,427 Euclid Rd,sold,240756,2,3,1787,33.43268727,-111.9538055
985,15 Indiana Vis,active,252019,5,2,2162,33.57124454,-112.0940819
986,520 Franklin St,active,297981,2,3,1507,33.57489723,-112.0632106
987,582 Turk Wl,sold,111577,4,1,1788,33.38232414,-112.0682928
988,646 Euclid Ave,pending,166838,3,3,3852,33.51650175,-112.299609
989,652 Pine Cir,pending,149380,2,3,2794,33.36757738,-111.8788689
990,322 Bush Blvd,active,113873,2,1,3756,33.48506517,-112.2612041
991,357 1st Way,active,254138,5,3,2634,33.47474946,-111.880715
992,338 Pine Cir,sold,260229,4,2,2399,33.44047543,-112.1044446
993,424 Post Trl,active,212081,2,1,1319,33.39003891,-112.2335903
994,576 Franklin Rd,active,137547,2,2,1481,33.44873028,-112.1088821
995,620 8th Cir,sold,273602,2,3,1396,33.41622491,-111.8732173
996,400 8th Wl,active,211928,4,3,3890,33.51396724,-112.2964117
997,244 Euclid Way,active,295911,5,2,2524,33.45046103,-112.2905539
998,782 4th Way,sold,123188,3,1,1150,33.57168475,-111.9040438
999,774 Sutter Pl,sold,231251,3,1,2455,33.39320707,-111.9188057
1000,569 Geary Way,active,289827,3,1,2297,33.42033526,-112.0995002
1001,307 3rd Trl,pending,230098,5,1,2383,33.52686656,-111.9197943
1002,620 1st Pl,pending,132842,2,1,2734,33.59119316,-112.0861315
1003,165 Texas Ave,pending,289901,2,3,3953,33.51960843,-112.0706348
1004,437 1st Rd,active,260850,3,3,3294,33.46760891,-112.1688409
1005,543 Bush Cir,sold,256398,5,1,1450,33.44369262,-112.0157459
1006,105 7th Cir,sold,214035,4,2,3157,33.40388662,-111.940073
1007,360 Bush Trl,sold,273577,3,3,1967,33.47003992,-111.9676497
1008,645 Geary Vis,pending,115339,4,3,2181,33.57890644,-112.2907634
1009,366 4th Cir,pending,215212,2,2,3232,33.49884945,-112.2343987
1010,583 Blake Vis,sold,104082,3,2,2603,33.53838784,-112.1465471
1011,683 Texas St,active,268732,4,1,2630,33.46901301,-112.2650592
1012,440 Franklin Rd,sold,156692,5,2,3352,33.47866352,-111.9768262
1013,577 2nd Way,active,151312,4,2,3524,33.45739327,-112.3616489
1014,714 5th St,pending,103775,2,3,2798,33.53502362,-112.1922298
1015,386 Mission Trl,pending,209345,2,2,1204,33.54508609,-112.2293827
1016,508 Sutter Wl,pending,178836,3,3,1437,33.52120403,-112.2222019
1017,353 2nd Vis,pending,189438,4,1,3557,33.47670352,-112.2188375
1018,451 Turk Blvd,sold,169609,5,1,1667,33.41958875,-112.2856364
1019,85 Indiana Rd,pending,217493,2,2,1707,33.57293235,-112.3290524
1020,307 4th Cir,pending,125639,2,2,3565,33.47965598,-112.0920007
1021,439 Pine Dv,sold,128853,2,2,3404,33.39494226,-111.9183939
1022,360 7th Vis,sold,167088,5,1,3669,33.5587659,-112.1020284
1023,219 Texas Cir,active,186408,3,3,2360,33.53605544,-112.3214361
1024,744 Walnut Trl,pending,210042,2,3,3916,33.51477388,-112.2987915
1025,441 8th Way,sold,242724,4,1,3263,33.58453138,-112.1944557
1026,500 2nd Rd,pending,247856,4,2,3111,33.54608508,-111.9411796
1027,236 2nd Blvd,pending,100328,3,2,3260,33.46112722,-112.2544378
1028,379 7th Trl,pending,115393,2,2,3753,33.375294,-112.3186748
1029,65 5th Dv,sold,100622,4,3,1677,33.59254798,-111.9336086
1030,152 Blake Way,pending,192128,4,1,3416,33.51424419,-112.3516634
1031,256 Turk Pl,sold,109421,2,3,2562,33.41216622,-112.0357886
1032,704 8th Trl,pending,286802,5,2,3430,33.42998315,-112.289847
1033,645 Texas Trl,active,169238,5,1,1459,33.39632164,-112.3315856
1034,538 8th Rd,pending,229777,2,1,1230,33.46907996,-112.3459888
1035,378 Texas Vis,active,185642,4,3,3396,33.4575659,-112.3055358
1036,148 Post Way,pending,192180,4,3,1121,33.5838938,-111.9090347
1037,521 Franklin Wl,pending,263438,4,2,2587,33.48953958,-112.1592191
1038,447 7th Ave,sold,227257,4,2,2164,33.3691352,-112.2864792
1039,218 Post Rd,pending,120902,2,1,2925,33.56873224,-111.8767319
1040,215 4th Vis,pending,226949,3,1,3722,33.51682352,-111.9001406
1041,279 2nd Cir,active,265261,4,3,3686,33.5573985,-112.2825247
1042,654 Page Vis,pending,215739,5,1,3436,33.54560172,-111.9867603
1043,212 Blake Vis,sold,270142,4,2,1207,33.49335042,-112.0926838
1044,536 Wall Pl,pending,253946,3,1,3112,33.36474828,-112.3551985
1045,222 5th Pl,sold,151685,4,2,3965,33.43354266,-111.9781659
1046,620 5th Rd,pending,162265,5,1,2242,33.54234321,-112.2656
1047,254 3rd Vis,sold,285700,5,1,2382,33.42878868,-112.2726871
1048,575 Euclid Blvd,active,273102,2,2,3793,33.41454666,-112.0729752
1049,271 9th Pl,active,299191,2,1,2718,33.58653329,-112.3018222
1050,107 Sutter Blvd,active,137831,4,2,2583,33.56191618,-111.990726
1051,262 Texas Blvd,sold,101194,4,3,3805,33.55157631,-112.334227
1052,796 6th Dv,active,205815,3,3,3821,33.52082336,-111.9797356
1053,67 Blake St,sold,165639,2,3,2189,33.5371717,-112.0657862
1054,54 Blake Vis,active,169210,5,1,2508,33.49380229,-112.0665596
1055,531 7th Pl,pending,284714,2,1,1031,33.51121308,-112.3040026
1056,85 Euclid Pl,sold,107255,2,2,3680,33.41664347,-112.2395463
1057,291 2nd Way,pending,159090,4,3,2052,33.58736707,-112.1255173
1058,68 Page Dv,pending,258771,2,2,1449,33.56860257,-112.2820596
1059,697 2nd Pl,sold,227546,5,2,2563,33.56716639,-112.2738774
1060,702 7th Rd,sold,175597,2,1,2456,33.56249446,-112.1879825
1061,243 Texas Cir,sold,110703,4,3,2875,33.4748798,-112.1561187
1062,376 Indiana Dv,pending,259107,2,2,3431,33.56766363,-112.3389456
1063,439 4th Dv,pending,283506,5,1,3091,33.39873847,-111.8838223
1064,251 Turk Pl,active,233378,3,2,3521,33.40800358,-112.0932244
1065,265 Page Ave,sold,153337,3,3,3647,33.41048081,-112.3557264
1066,280 7th Pl,pending,113439,4,1,3375,33.56849216,-112.0576038
1067,741 4th Ave,pending,172845,4,2,2026,33.53573063,-112.096518
1068,88 4th Blvd,sold,241532,5,2,2811,33.58201461,-112.2946888
1069,495 3rd Dv,active,167229,2,3,1652,33.41455494,-112.207024
1070,781 Blake Vis,active,262588,5,2,2635,33.41958223,-112.1593015
1071,580 Sutter St,pending,252999,5,1,1391,33.52558315,-112.088078
1072,572 4th Ave,active,271106,3,1,2379,33.53238654,-112.1537744
1073,91 Blake Wl,pending,275566,3,1,1309,33.44924022,-112.2489079
1074,33 Blake Dv,sold,137575,2,1,3421,33.42089904,-112.2131027
1075,557 Mission Cir,pending,288633,4,3,2354,33.58476105,-112.1278061
1076,84 Indiana Vis,pending,130707,2,3,3626,33.58772713,-112.2239663
1077,458 5th St,active,149533,2,3,2899,33.44266872,-112.146457
1078,573 1st Vis,active,166041,3,2,2079,33.37258685,-111.963514
1079,369 3rd Dv,active,141912,5,3,1852,33.53146103,-111.9289604
1080,269 Euclid Cir,sold,202830,2,1,2668,33.55231862,-112.1849906
1081,397 Blake Ave,active,248788,3,3,3974,33.58095673,-112.0325126
1082,390 3rd Blvd,active,234299,4,1,3322,33.36183338,-111.880575
1083,63 Geary Trl,active,218499,5,3,2137,33.58982416,-112.0582172
1084,467 6th Pl,sold,189761,5,2,2374,33.48435509,-112.0681735
1085,564 Euclid Way,active,232855,5,1,1984,33.5820964,-112.1779473
1086,686 4th Wl,pending,267899,3,2,3743,33.42648362,-112.3313192
1087,144 1st Rd,sold,267689,3,3,3489,33.57670934,-112.3335453
1088,591 8th Vis,pending,260483,5,1,1140,33.5401284,-112.1933387
1089,92 3rd Ave,sold,265561,3,2,1550,33.383851,-112.1842338
1090,578 Walnut St,active,151338,3,2,1100,33.38061758,-112.2678347
1091,141 Blake Blvd,active,131086,3,2,2222,33.54975188,-112.3164631
1092,193 5th Cir,sold,138592,4,1,3913,33.5891234,-111.9426399
1093,797 8th Rd,active,204492,4,1,2559,33.55505564,-111.9709106
1094,125 3rd Ave,active,107978,4,2,3894,33.44328292,-112.3356211
1095,157 Page Wl,active,176170,2,2,1767,33.48339238,-112.2100349
1096,295 Geary Rd,active,164203,3,1,3120,33.57008252,-112.0024089
1097,297 1st Wl,sold,203965,2,3,2353,33.44969124,-112.1245351
1098,434 Franklin Vis,active,233597,3,3,1550,33.48124784,-111.9403766
1099,643 Wall Pl,pending,157106,5,1,3491,33.57455427,-112.0363124
1100,21 6th Way,active,170560,2,3,3394,33.37533219,-112.2297064
1101,119 Indiana Dv,pending,229912,4,3,1289,33.57520592,-112.225358
1102,162 Franklin Wl,pending,151908,4,1,2938,33.49212799,-111.9942061
1103,751 2nd Pl,sold,274822,4,1,1002,33.52607029,-111.9301787
1104,392 Wall Wl,sold,115995,2,2,2815,33.51922012,-112.0905541
1105,642 California Cir,sold,106362,2,1,2751,33.39124525,-112.2319277
1106,525 2nd Way,sold,172466,2,3,3877,33.56123427,-112.3178555
1107,533 Wall Way,pending,168009,2,2,2978,33.56868661,-112.2772555
1108,588 Sutter Vis,active,135160,3,2,2973,33.53703732,-111.8820828
1109,624 Franklin St,active,142487,4,3,2797,33.54222187,-112.3214226
1110,385 8th Trl,active,222938,5,1,1057,33.37677056,-112.337866
1111,364 Euclid Cir,sold,196463,5,3,2541,33.58443278,-112.2293235
1112,287 California St,pending,220447,4,2,1818,33.5867172,-112.1879389
1113,622 Franklin Rd,sold,258878,2,1,3054,33.39123776,-112.1380915
1114,395 Euclid Trl,pending,297102,5,3,3851,33.48031891,-112.1733494
1115,711 Turk St,active,173010,5,2,1284,33.50601503,-112.0194254
1116,375 Turk Cir,pending,201317,4,1,3266,33.58623705,-111.9814685
1117,695 Indiana Vis,pending,224945,5,3,2830,33.36131942,-111.9976748
1118,130 8th Blvd,sold,118085,2,1,3414,33.37211584,-111.9928599
1119,566 7th Blvd,pending,288703,5,3,2016,33.52991368,-111.8825733
1120,221 Post Vis,active,142163,2,1,1695,33.57591692,-112.2938889
1121,679 Wall Blvd,sold,132224,5,2,3570,33.45728487,-111.9087242
1122,224 Walnut Vis,sold,132762,2,3,3917,33.39669748,-111.9864843
1123,785 Blake Way,active,189960,3,1,1605,33.45858573,-112.2471941
1124,124 5th Way,sold,268933,2,3,2200,33.57026558,-111.9544161
1125,499 Sutter Pl,sold,265554,3,3,2072,33.43253311,-112.136216
1126,524 6th Rd,pending,196462,3,1,1387,33.46554588,-112.1823458
1127,426 6th Way,pending,245176,4,3,2649,33.44120497,-112.3021938
1128,377 4th St,active,206079,5,3,2623,33.44209449,-111.9605363
1129,524 Walnut Ave,pending,104184,5,3,3980,33.52996288,-112.1852372
1130,108 Bush Trl,pending,292837,4,2,1626,33.41894652,-112.1182866
1131,749 Wall Blvd,sold,231023,5,1,3571,33.5317513,-111.9908517
1132,747 California Vis,active,110832,4,3,1293,33.58057106,-112.138856
1133,393 Indiana Vis,active,103492,3,1,3647,33.37570353,-112.2135636
1134,627 Pine Dv,active,269474,5,2,3218,33.36639839,-112.0215651
1135,88 Franklin Ave,active,292363,4,2,1920,33.47378772,-112.2568443
1136,467 8th Cir,pending,144208,3,3,1839,33.42217641,-112.2300403
1137,240 California Way,sold,141836,2,2,3046,33.48937548,-112.2337993
1138,419 Pine Dv,active,238658,2,1,1391,33.50637813,-112.0858975
1139,425 1st Vis,sold,255787,3,3,1101,33.56352079,-111.9491651
1140,716 6th Cir,sold,283692,2,1,2433,33.38700645,-111.9827707
1141,339 Bush Way,active,111216,4,3,2117,33.46897789,-112.361126
1142,230 Franklin St,sold,202230,4,3,1128,33.46986297,-112.0480791
1143,754 Geary Cir,active,189237,2,1,2480,33.51412258,-112.215871
1144,95 Bush Pl,active,267065,2,2,3566,33.50451888,-112.3585537
1145,585 1st Rd,pending,169075,3,1,3746,33.40873545,-112.1370175
1146,176 Post Wl,sold,141146,2,1,3937,33.54128557,-112.0342134
1147,146 Wall Dv,active,208425,4,1,1372,33.41469701,-112.157977
1148,291 Geary Way,active,261935,5,2,2609,33.37309504,-112.0281192
1149,522 9th Vis,active,180054,5,1,1821,33.43320683,-111.9948076
1150,13 Wall St,sold,189035,3,3,3951,33.37607257,-112.2768703
1151,52 Post Vis,sold,211553,2,2,1133,33.46029309,-112.1308202
1152,760 Post Wl,pending,146172,4,1,3850,33.49136936,-112.2420365
1153,178 Page Vis,active,206512,2,2,2813,33.5200281,-111.9163408
1154,377 Geary Trl,active,180077,3,3,3618,33.48954343,-112.229932
1155,794 Franklin Pl,sold,140836,5,3,2414,33.41091666,-112.2007178
1156,783 Franklin Vis,active,163288,3,3,3766,33.51141264,-112.2423685
1157,511 Wall Pl,pending,130922,4,3,1946,33.47478136,-111.9820006
1158,775 8th Blvd,active,284754,2,2,2227,33.55278209,-111.9892629
1159,428 Wall St,pending,295692,3,2,1567,33.48428143,-112.1764886
1160,437 Page Blvd,sold,233784,2,2,3486,33.52896471,-111.9134083
1161,444 Texas Ave,sold,248646,2,1,1248,33.53534283,-112.2577161
1162,167 7th St,pending,286761,3,3,2005,33.55818649,-112.2896767
1163,67 8th Dv,sold,259556,2,1,1148,33.51135195,-111.8921821
1164,688 1st Way,pending,234990,4,2,2485,33.37626229,-112.0330981
1165,436 California Blvd,pending,252679,5,1,3083,33.41052332,-112.3072982
1166,500 Post Trl,sold,219121,5,1,1986,33.55796587,-112.0297955
1167,119 Mission Way,pending,141159,3,3,2990,33.43772617,-112.2778811
1168,49 Geary Trl,pending,176410,3,3,1373,33.40199998,-111.9590809
1169,15 8th Way,active,196577,5,3,2893,33.45452453,-112.1887402
1170,338 Euclid Trl,sold,169069,4,1,1381,33.54181591,-111.9244401
1171,471 Mission Way,active,159444,4,1,2585,33.53408058,-112.142973
1172,190 Euclid St,pending,223334,2,1,2077,33.37669323,-112.1232901
1173,296 Texas Dv,pending,123396,4,2,2307,33.41376288,-112.3222081
1174,218 Wall Cir,pending,207292,5,3,3555,33.43980095,-112.1706809
1175,625 Texas Trl,pending,234368,3,2,3426,33.46854021,-112.2916491
1176,163 6th Blvd,sold,256217,5,1,1205,33.4947231,-112.0785894
1177,224 Bush Way,active,192346,4,2,2230,33.41822103,-112.2827922
1178,667 8th Wl,pending,203703,5,2,3636,33.51626631,-112.1455184
1179,313 Sutter Pl,sold,229902,5,1,3429,33.5290448,-111.9460528
1180,20 8th Trl,pending,231196,3,2,1612,33.47234903,-112.0352394
1181,468 3rd St,sold,242179,4,1,2172,33.47343151,-111.9229788
1182,168 4th Way,active,198863,5,2,3113,33.47498837,-112.3283313
1183,710 Mission Wl,pending,297978,4,1,2973,33.44807786,-112.0934416
1184,436 Pine Ave,pending,226735,2,3,3597,33.55199904,-112.1236273
1185,744 Turk Pl,pending,114413,3,2,3642,33.45339269,-112.2820342
1186,417 3rd Way,sold,269523,4,3,1070,33.36916515,-111.915928
1187,380 Texas Ave,sold,280030,3,2,3952,33.39658579,-111.9179703
1188,597 4th Trl,pending,127585,5,3,1497,33.51181583,-112.0944425
1189,736 Post Cir,pending,270571,5,3,1888,33.53836906,-112.31925
1190,141 Bush Dv,active,285430,3,1,3668,33.57948286,-112.3206011
1191,558 2nd Ave,active,292689,2,2,2063,33.45418795,-112.1009934
1192,121 3rd Vis,pending,277046,2,3,1539,33.55430265,-112.0497251
1193,726 Pine Vis,pending,215881,4,2,3010,33.40688352,-112.0471173
1194,442 Turk Cir,active,250797,2,2,3669,33.48306642,-111.9542836
1195,219 Turk Way,active,206977,2,2,2804,33.4391531,-112.2638853
1196,510 Walnut Cir,active,232441,5,1,3234,33.45623172,-112.0910414
1197,748 7th Way,pending,268330,2,3,2150,33.49362751,-112.2730605
1198,421 Pine Dv,active,286141,4,1,3916,33.57236592,-112.0684384
1199,653 8th Ave,sold,118783,5,2,1031,33.56091501,-112.1238154
1200,323 Texas Ave,pending,298658,3,3,3767,33.47598441,-112.1687598
1201,793 Texas Dv,active,259390,5,2,1841,33.58560023,-112.2430559
1202,320 5th Blvd,sold,185096,3,1,3272,33.54353497,-112.1878967
1203,414 Geary Cir,pending,211618,2,3,1702,33.57915364,-112.0822982
1204,377 1st Blvd,sold,180740,3,2,2198,33.57638992,-112.0885795
1205,555 6th Vis,active,209505,3,2,2102,33.4105138,-111.9050759
1206,111 6th Cir,pending,168449,2,3,3514,33.36218005,-111.882108
